date,home_team,away_team,home_goals,away_goals,result,odds_initial_h,odds_initial_d,odds_initial_a
2023-11-02,Fulham,Nott'm Forest,2,0,H,1.91,3.5,4.33
2023-11-02,Leicester,Tottenham,4,1,H,3.4,3.6,2.1
2023-11-02,Southampton,Wolves,1,2,A,2.9,3.2,2.55
2023-11-02,Bournemouth,Newcastle,1,1,D,6.5,4.0,1.53
2023-12-02,Leeds,Man United,0,2,A,3.75,3.8,1.91
2023-12-02,Man City,Aston Villa,3,1,H,1.25,6.5,11.0
2023-01-03,Arsenal,Everton,4,0,H,1.36,4.75,10.0
2023-01-03,Liverpool,Wolves,2,0,H,1.5,4.75,6.0
2023-04-03,Man City,Newcastle,2,0,H,1.45,4.5,7.0
2023-04-03,Arsenal,Bournemouth,3,2,H,1.22,7.0,12.0
2023-04-03,Aston Villa,Crystal Palace,1,0,H,2.05,3.3,3.8
2023-04-03,Brighton,West Ham,4,0,H,1.8,3.6,4.5
2023-04-03,Chelsea,Leeds,1,0,H,1.62,4.0,5.5
2023-04-03,Wolves,Tottenham,1,0,H,3.3,3.4,2.2
2023-04-03,Southampton,Leicester,1,0,H,2.75,3.3,2.6
2023-05-03,Nott'm Forest,Everton,2,2,D,2.7,3.0,2.88
2023-05-03,Liverpool,Man United,7,0,H,2.38,3.6,2.88
2023-06-03,Brentford,Fulham,3,2,H,1.95,3.6,3.75
2023-11-03,Bournemouth,Liverpool,1,0,H,7.5,5.0,1.4
2023-11-03,Everton,Brentford,1,0,H,2.7,3.25,2.7
2023-11-03,Leeds,Brighton,2,2,D,3.75,3.6,1.95
2023-11-03,Leicester,Chelsea,1,3,A,3.75,3.5,1.95
2023-11-03,Tottenham,Nott'm Forest,3,1,H,1.44,4.75,7.0
2023-11-03,Crystal Palace,Man City,0,1,A,9.0,4.75,1.36
2023-12-03,Fulham,Arsenal,0,3,A,6.0,4.0,1.57
2023-12-03,Man United,Southampton,0,0,D,1.36,5.0,9.0
2023-12-03,West Ham,Aston Villa,1,1,D,2.2,3.3,3.4
2023-12-03,Newcastle,Wolves,2,1,H,1.65,3.75,5.5
2023-01-04,Man City,Liverpool,4,1,H,1.62,4.2,5.0
2023-01-04,Arsenal,Leeds,4,1,H,1.29,6.0,9.0
2023-01-04,Bournemouth,Fulham,2,1,H,2.55,3.3,2.8
2023-01-04,Brighton,Brentford,3,3,D,1.67,4.0,5.0
2023-01-04,Crystal Palace,Leicester,2,1,H,2.5,3.25,2.9
2023-01-04,Nott'm Forest,Wolves,1,1,D,3.0,3.1,2.55
2023-01-04,Chelsea,Aston Villa,0,2,A,1.67,3.8,5.25
2023-02-04,West Ham,Southampton,1,0,H,1.73,3.6,5.0
2023-02-04,Newcastle,Man United,2,0,H,2.4,3.4,2.9
2023-03-04,Everton,Tottenham,1,1,D,3.4,3.3,2.2
2023-04-04,Bournemouth,Brighton,0,2,A,6.0,4.2,1.53
2023-04-04,Leeds,Nott'm Forest,2,1,H,1.7,3.75,5.0
2023-04-04,Leicester,Aston Villa,1,2,A,2.55,3.3,2.75
2023-04-04,Chelsea,Liverpool,0,0,D,2.2,3.4,3.25
2023-05-04,Man United,Brentford,1,0,H,1.65,4.0,5.0
2023-05-04,West Ham,Newcastle,1,5,A,3.6,3.25,2.15
2023-08-04,Man United,Everton,2,0,H,1.5,4.33,6.5
2023-08-04,Aston Villa,Nott'm Forest,2,0,H,1.6,4.2,5.25
2023-08-04,Brentford,Newcastle,1,2,A,3.6,3.4,2.05
2023-08-04,Fulham,West Ham,0,1,A,2.8,3.25,2.63
2023-08-04,Leicester,Bournemouth,0,1,A,1.83,3.75,4.2
2023-08-04,Tottenham,Brighton,2,1,H,2.55,3.5,2.7
2023-08-04,Wolves,Chelsea,1,0,H,4.2,3.5,1.91
2023-08-04,Southampton,Man City,1,4,A,11.0,6.0,1.25
2023-09-04,Leeds,Crystal Palace,1,5,A,2.1,3.4,3.6
2023-09-04,Liverpool,Arsenal,2,2,D,2.88,3.6,2.38
2023-01-05,Leicester,Everton,2,2,D,2.0,3.5,3.75
2023-02-05,Arsenal,Chelsea,3,1,H,1.6,4.0,5.5
2023-03-05,Liverpool,Fulham,1,0,H,1.25,5.75,11.0
2023-03-05,Man City,West Ham,3,0,H,1.2,7.0,13.0
2023-04-05,Brighton,Man United,1,0,H,1.95,3.5,3.75
2023-06-05,Bournemouth,Chelsea,1,3,A,3.3,3.5,2.15
2023-06-05,Man City,Leeds,2,1,H,1.17,8.5,15.0
2023-06-05,Tottenham,Crystal Palace,1,0,H,1.8,3.8,4.2
2023-06-05,Wolves,Aston Villa,1,0,H,2.88,3.3,2.5
2023-06-05,Liverpool,Brentford,1,0,H,1.44,5.0,6.0
2023-07-05,Newcastle,Arsenal,0,2,A,2.45,3.75,2.63
2023-07-05,West Ham,Man United,1,0,H,3.4,3.75,2.05
2023-08-05,Fulham,Leicester,5,3,H,2.63,3.5,2.6
2023-08-05,Brighton,Everton,1,5,A,1.33,5.25,9.0
2023-08-05,Nott'm Forest,Southampton,4,3,H,2.1,3.6,3.4
